demo_case_id,actual_default,default_probability,risk_category
DEMO-001,1,0.7174199819564819,high
DEMO-002,0,0.07816924154758453,low
DEMO-003,1,0.22735105454921722,low
DEMO-004,1,0.6054621338844299,high
DEMO-005,1,0.5042787790298462,medium
DEMO-006,0,0.6255639791488647,high
DEMO-007,0,0.4403323233127594,medium
DEMO-008,1,0.8001956939697266,high
DEMO-009,0,0.1609661728143692,low
DEMO-010,0,0.25976797938346863,low
DEMO-011,0,0.37854328751564026,medium
DEMO-012,1,0.6665070652961731,high
DEMO-013,1,0.453766793012619,medium
DEMO-014,0,0.295786589384079,low
DEMO-015,1,0.8699586987495422,high
DEMO-016,0,0.35809361934661865,medium
DEMO-017,0,0.7329208850860596,high
DEMO-018,1,0.4771822392940521,medium
DEMO-019,1,0.18076223134994507,low
DEMO-020,0,0.656264066696167,high
